Altium Designer Pick and Place Locations
E:\#pd\External project\12_Terra Spray\Project Outputs for Terra_Spray\08_Pick and Place\Pick Place\Pick Place for Terra Spray panel 16 pcb.csv

========================================================================================================================
File Design Information:

Date:       23-09-21
Time:       19:50
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C12","Capacitor","TopLayer","CAPC0402","173.6250","24.9750","90",""
"C9","Cap","TopLayer","CAPC0402","171.1690","27.0192","360","Ceramic Capacitor,100nF,0402,6.3V"
"C8","Cap","TopLayer","CAPC0402","171.1690","29.5084","360","Ceramic Capacitor,100nF,0402,6.3V"
"Y1","32.768KHz","BottomLayer","32.728KHZ","155.2072","8.9916","270","Crystal Oscillator"
"Y2","32.768KHz","TopLayer","32.728KHZ","164.9250","35.2500","270","Crystal Oscillator"
"U3","DS1307Z+","BottomLayer","SOIC-8","154.1150","14.1478","90","SERIAL TIME CHIP 8PIN, SOIC"
"S3","WIFI","TopLayer","FSMJ_-_SMD_-_WIFI","163.0812","15.3416","90","Pushbutton 6x6mm, Actuator Height off PCB, Vertical 9.50mm"
"R12","Resistor","BottomLayer","RESC0603","171.3616","27.8984","90","Thick Film Resistor -  309Kohm, 1%, 0603"
"R11","Resistor","BottomLayer","RESC0603","171.3616","30.9464","90","Thick Film Resistor -  220Kohm, 1%, 0603"
"R7","Resistor","TopLayer","RESC0402","155.1011","13.3250","270","Thick Film Resistor -  10Kohm, 1%, 0402"
"C7","Capacitor","TopLayer","CAPC0402","171.1690","30.7530","360","Ceramic Capacitor,1uF,0402,6.3V"
"C6","Capacitor","TopLayer","CAPC0603","171.4500","32.1500","360","Ceramic Capacitor,10uF,0603,10V"
"C5","Cap","TopLayer","CAPC0402","165.4750","22.5750","360","Ceramic Capacitor,22pF,0402,50V"
"C16","Cap","TopLayer","CAPC0402","156.4518","13.3249","270","Ceramic Capacitor,100nF,0402,6.3
V"
"S1","Boot","TopLayer","","172.0220","15.3416","270","Header, 2-Pin"
"U2","ESP32-S2","TopLayer","QFN56-7X7MM","165.4180","27.6606","180","WiFi 802.11b/g/n Transceiver Module 2.4GHz"
"L1","Inductor","BottomLayer","INDP5050X20N","153.3022","24.3332","360","WURTH ELEKTRONIK - 74404052022 - Power Inductor (SMD), 2.2 µH, 3 A, Semishielded, 3.6 A, WE-LQS Series, 5mm x 5mm x 2mm"
"U1","PAM2401SCADJ","BottomLayer","8-TSSOP,_8-MSOP","152.0576","29.9974","90","IC REG BOOST ADJ 3A SYNC 8MSOP"
"R9","Resistor","TopLayer","RESC0402","152.2000","13.3250","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R8","Resistor","TopLayer","RESC0402","153.6506","13.3250","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R5","Resistor","TopLayer","RESC0402","159.7250","8.3500","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R4","Resistor","TopLayer","RESC0603","148.5966","10.3378","90","Thick Film Resistor -  100Kohm, 1%, 0603"
"R3","Resistor","TopLayer","RESC0603","146.9395","10.3618","90","Thick Film Resistor -  100ohm, 1%, 0603"
"R2","Resistor","BottomLayer","RESC0603","149.5178","34.3935","90","Thick Film Resistor -  100Kohm, 1%, 0603"
"R1","Resistor","BottomLayer","RESC0603","149.5174","31.2928","270","Thick Film Resistor -  453Kohm, 1%, 0603"
"Q1","Mosfet","TopLayer","SOT-363","144.8181","10.3558","90","N-Channel 20V 3.2A (Ta) 1W (Ta) Surface Mount SC-88/SC70-6/SOT-363"
"D1","1N4007W","TopLayer","SOD-123","146.3250","7.4000","180","Rectifiers RECTIFIER DIODE 1A 1000V"
"C11","Cap","TopLayer","CAPC0402","170.0154","15.3162","270","Ceramic Capacitor,100nF,0402,16V"
"C4","Cap","TopLayer","CAPC0402","167.4750","22.5750","180","Ceramic Capacitor,22pF,0402,50V"
"C10","Cap","TopLayer","CAPC0402","169.4758","22.0992","270","Ceramic Capacitor,100nF,0402,6.3V"
"C3","Capacitor","BottomLayer","CAPC0603","150.2796","20.7518","360","Ceramic Capacitor,22uF,0603,6.3V"
"C1","Capacitor","BottomLayer","CAPC0603","152.8196","33.6296","180","Ceramic Capacitor,22uF,0603,6.3V"
"P3","CP2102","BottomLayer","HEADER_6X1","171.9500","2.4502","180","Header, 6-Pin"
"P2","Motor","BottomLayer","2_PIN_2.5MM_-_HEADER","145.8000","2.5000","180","Motor, General Kind"
"P1","+ Batt -","BottomLayer","2_PIN_2.5MM_-_HEADER","153.3000","2.5000","180","Header, 2-Pin"
"S2","Button","TopLayer","434153017835","163.0810","8.3819","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R10","Resistor","TopLayer","RESC0402","161.8250","72.3300","180","Thick Film Resistor -  10Kohm, 1%, 0402"
"R13","Resistor","TopLayer","RESC0402","165.0750","71.2550","360","Thick Film Resistor -  1Mohm, 1%, 0402"
"A1","Antenna_1","TopLayer","ESP32_ANT","174.9500","63.5366","270","PCB Antenna"
"C2","Capacitor","BottomLayer","CAPC0603","152.8196","74.3336","180","Ceramic Capacitor,22uF,0603,6.3V"
"X1","CRYSTAL_1","TopLayer","CRYSTAL_3225","166.4500","59.4800","180","40MHz ±10ppm 10pF 30O SMD-3225 SMD Crystal Resonators RoHS"
"R6","Resistor","BottomLayer","RESC0603","166.2564","54.7756","90","Thick Film Resistor -  820ohm, 1%, 0603"
"Q3","PNP BJT Transistor","BottomLayer","SOT-23","163.7162","52.6448","270","ON SEMICONDUCTOR - MMBT3906LT1G - Bipolar (BJT) Single Transistor, General Purpose, PNP, -40 V, 250 MHz, 225 mW, -200 mA, 300 hFE"
"Q2","NPN BJT Transistor","BottomLayer","SOT-23","160.3380","52.6526","270","Bipolar Transistors - BJT SOT-23 NPN"
"L3","Inductor","TopLayer","INDUCTOR_0402","171.9750","64.6548","360","2nH ±0.3nH 900mA 120mO 0402 Inductors (SMD) RoHS"
"L2","Inductor","TopLayer","INDUCTOR_0402","171.0939","67.4438","360","2nH ±0.3nH 900mA 120mO 0402 Inductors (SMD) RoHS"
"D3","B0540W","BottomLayer","SOD123_-_DUPLICATE","161.1762","55.8678","180","Diode Schottky 40V 0.5A 2-Pin SOD-123 T/R"
"D2","B0540W","BottomLayer","SOD123_-_DUPLICATE","161.1762","57.9252","0","Diode Schottky 40V 0.5A 2-Pin SOD-123 T/R"
"C26","Cap","BottomLayer","CAPC0402","163.2250","69.8300","270","Ceramic Capacitor,100nF,0402,6.3V"
"C25","Cap","BottomLayer","CAPC0402","166.0250","69.8300","270","Ceramic Capacitor,100nF,0402,6.3V"
"C24","Cap","BottomLayer","CAPC0402","168.3644","64.5974","180","Ceramic Capacitor,100nF,0402,6.3V"
"C23","Cap","TopLayer","capc0402","164.0750","72.3550","360","Ceramic Capacitor,18pF,0402,50V"
"C22","Cap","TopLayer","capc0402","166.0750","72.3550","180","Ceramic Capacitor,18pF,0402,50V"
"C21","Cap","BottomLayer","CAPC0402","157.7726","53.6326","270","Ceramic Capacitor,100nF,0402,6.3
V"
"C20","Cap","BottomLayer","CAPC0402","166.8658","64.0974","90","Ceramic Capacitor,100nF,0402,6.3V"
"C19","Cap","BottomLayer","CAPC0402","165.8498","64.0974","90","Ceramic Capacitor,100nF,0402,6.3V"
"C18","Cap","BottomLayer","CAPC0402","163.6400","64.0974","90","Ceramic Capacitor,100nF,0402,6.3V"
"C17","Cap","TopLayer","CAPC0402","159.9500","69.0800","180","Ceramic Capacitor,100nF,0402,6.3V"
"C15","Capacitor","BottomLayer","CAPC0603","157.7726","56.1726","90","Ceramic Capacitor,10uF,0603,10V"
"C14","Capacitor","BottomLayer","CAPC0603","164.6052","56.9092","270","Ceramic Capacitor,10uF,0603,10V"
"C13","Capacitor","TopLayer","CAPC0402","170.3250","64.1550","90",""
"C12","Capacitor","TopLayer","CAPC0402","173.6250","64.1550","90",""
"C9","Cap","TopLayer","CAPC0402","171.1690","66.1992","360","Ceramic Capacitor,100nF,0402,6.3V"
"C8","Cap","TopLayer","CAPC0402","171.1690","68.6884","360","Ceramic Capacitor,100nF,0402,6.3V"
"Y1","32.768KHz","BottomLayer","32.728KHZ","155.2072","48.1716","270","Crystal Oscillator"
"Y2","32.768KHz","TopLayer","32.728KHZ","164.9250","74.4300","270","Crystal Oscillator"
"U3","DS1307Z+","BottomLayer","SOIC-8","154.1150","53.3278","90","SERIAL TIME CHIP 8PIN, SOIC"
"S3","WIFI","TopLayer","FSMJ_-_SMD_-_WIFI","163.0812","54.5216","90","Pushbutton 6x6mm, Actuator Height off PCB, Vertical 9.50mm"
"R12","Resistor","BottomLayer","RESC0603","171.3616","67.0784","90","Thick Film Resistor -  309Kohm, 1%, 0603"
"R11","Resistor","BottomLayer","RESC0603","171.3616","70.1264","90","Thick Film Resistor -  220Kohm, 1%, 0603"
"R7","Resistor","TopLayer","RESC0402","155.1011","52.5050","270","Thick Film Resistor -  10Kohm, 1%, 0402"
"C7","Capacitor","TopLayer","CAPC0402","171.1690","69.9330","360","Ceramic Capacitor,1uF,0402,6.3V"
"C6","Capacitor","TopLayer","CAPC0603","171.4500","71.3300","360","Ceramic Capacitor,10uF,0603,10V"
"C5","Cap","TopLayer","CAPC0402","165.4750","61.7550","360","Ceramic Capacitor,22pF,0402,50V"
"C16","Cap","TopLayer","CAPC0402","156.4518","52.5049","270","Ceramic Capacitor,100nF,0402,6.3
V"
"S1","Boot","TopLayer","","172.0220","54.5216","270","Header, 2-Pin"
"U2","ESP32-S2","TopLayer","QFN56-7X7MM","165.4180","66.8406","180","WiFi 802.11b/g/n Transceiver Module 2.4GHz"
"L1","Inductor","BottomLayer","INDP5050X20N","153.3022","63.5132","360","WURTH ELEKTRONIK - 74404052022 - Power Inductor (SMD), 2.2 µH, 3 A, Semishielded, 3.6 A, WE-LQS Series, 5mm x 5mm x 2mm"
"U1","PAM2401SCADJ","BottomLayer","8-TSSOP,_8-MSOP","152.0576","69.1774","90","IC REG BOOST ADJ 3A SYNC 8MSOP"
"R9","Resistor","TopLayer","RESC0402","152.2000","52.5050","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R8","Resistor","TopLayer","RESC0402","153.6506","52.5050","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R5","Resistor","TopLayer","RESC0402","159.7250","47.5300","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R4","Resistor","TopLayer","RESC0603","148.5966","49.5178","90","Thick Film Resistor -  100Kohm, 1%, 0603"
"R3","Resistor","TopLayer","RESC0603","146.9395","49.5418","90","Thick Film Resistor -  100ohm, 1%, 0603"
"R2","Resistor","BottomLayer","RESC0603","149.5178","73.5735","90","Thick Film Resistor -  100Kohm, 1%, 0603"
"R1","Resistor","BottomLayer","RESC0603","149.5174","70.4728","270","Thick Film Resistor -  453Kohm, 1%, 0603"
"Q1","Mosfet","TopLayer","SOT-363","144.8181","49.5358","90","N-Channel 20V 3.2A (Ta) 1W (Ta) Surface Mount SC-88/SC70-6/SOT-363"
"D1","1N4007W","TopLayer","SOD-123","146.3250","46.5800","180","Rectifiers RECTIFIER DIODE 1A 1000V"
"C11","Cap","TopLayer","CAPC0402","170.0154","54.4962","270","Ceramic Capacitor,100nF,0402,16V"
"C4","Cap","TopLayer","CAPC0402","167.4750","61.7550","180","Ceramic Capacitor,22pF,0402,50V"
"C10","Cap","TopLayer","CAPC0402","169.4758","61.2792","270","Ceramic Capacitor,100nF,0402,6.3V"
"C3","Capacitor","BottomLayer","CAPC0603","150.2796","59.9318","360","Ceramic Capacitor,22uF,0603,6.3V"
"C1","Capacitor","BottomLayer","CAPC0603","152.8196","72.8096","180","Ceramic Capacitor,22uF,0603,6.3V"
"P3","CP2102","BottomLayer","HEADER_6X1","171.9500","41.6302","180","Header, 6-Pin"
"P2","Motor","BottomLayer","2_PIN_2.5MM_-_HEADER","145.8000","41.6800","180","Motor, General Kind"
"P1","+ Batt -","BottomLayer","2_PIN_2.5MM_-_HEADER","153.3000","41.6800","180","Header, 2-Pin"
"S2","Button","TopLayer","434153017835","163.0810","47.5619","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R10","Resistor","TopLayer","RESC0402","161.8250","111.5100","180","Thick Film Resistor -  10Kohm, 1%, 0402"
"R13","Resistor","TopLayer","RESC0402","165.0750","110.4350","360","Thick Film Resistor -  1Mohm, 1%, 0402"
"A1","Antenna_1","TopLayer","ESP32_ANT","174.9500","102.7166","270","PCB Antenna"
"C2","Capacitor","BottomLayer","CAPC0603","152.8196","113.5136","180","Ceramic Capacitor,22uF,0603,6.3V"
"X1","CRYSTAL_1","TopLayer","CRYSTAL_3225","166.4500","98.6600","180","40MHz ±10ppm 10pF 30O SMD-3225 SMD Crystal Resonators RoHS"
"R6","Resistor","BottomLayer","RESC0603","166.2564","93.9556","90","Thick Film Resistor -  820ohm, 1%, 0603"
"Q3","PNP BJT Transistor","BottomLayer","SOT-23","163.7162","91.8248","270","ON SEMICONDUCTOR - MMBT3906LT1G - Bipolar (BJT) Single Transistor, General Purpose, PNP, -40 V, 250 MHz, 225 mW, -200 mA, 300 hFE"
"Q2","NPN BJT Transistor","BottomLayer","SOT-23","160.3380","91.8326","270","Bipolar Transistors - BJT SOT-23 NPN"
"L3","Inductor","TopLayer","INDUCTOR_0402","171.9750","103.8348","360","2nH ±0.3nH 900mA 120mO 0402 Inductors (SMD) RoHS"
"L2","Inductor","TopLayer","INDUCTOR_0402","171.0939","106.6238","360","2nH ±0.3nH 900mA 120mO 0402 Inductors (SMD) RoHS"
"D3","B0540W","BottomLayer","SOD123_-_DUPLICATE","161.1762","95.0478","180","Diode Schottky 40V 0.5A 2-Pin SOD-123 T/R"
"D2","B0540W","BottomLayer","SOD123_-_DUPLICATE","161.1762","97.1052","0","Diode Schottky 40V 0.5A 2-Pin SOD-123 T/R"
"C26","Cap","BottomLayer","CAPC0402","163.2250","109.0100","270","Ceramic Capacitor,100nF,0402,6.3V"
"C25","Cap","BottomLayer","CAPC0402","166.0250","109.0100","270","Ceramic Capacitor,100nF,0402,6.3V"
"C24","Cap","BottomLayer","CAPC0402","168.3644","103.7774","180","Ceramic Capacitor,100nF,0402,6.3V"
"C23","Cap","TopLayer","capc0402","164.0750","111.5350","360","Ceramic Capacitor,18pF,0402,50V"
"C22","Cap","TopLayer","capc0402","166.0750","111.5350","180","Ceramic Capacitor,18pF,0402,50V"
"C21","Cap","BottomLayer","CAPC0402","157.7726","92.8126","270","Ceramic Capacitor,100nF,0402,6.3
V"
"C20","Cap","BottomLayer","CAPC0402","166.8658","103.2774","90","Ceramic Capacitor,100nF,0402,6.3V"
"C19","Cap","BottomLayer","CAPC0402","165.8498","103.2774","90","Ceramic Capacitor,100nF,0402,6.3V"
"C18","Cap","BottomLayer","CAPC0402","163.6400","103.2774","90","Ceramic Capacitor,100nF,0402,6.3V"
"C17","Cap","TopLayer","CAPC0402","159.9500","108.2600","180","Ceramic Capacitor,100nF,0402,6.3V"
"C15","Capacitor","BottomLayer","CAPC0603","157.7726","95.3526","90","Ceramic Capacitor,10uF,0603,10V"
"C14","Capacitor","BottomLayer","CAPC0603","164.6052","96.0892","270","Ceramic Capacitor,10uF,0603,10V"
"C13","Capacitor","TopLayer","CAPC0402","170.3250","103.3350","90",""
"C12","Capacitor","TopLayer","CAPC0402","173.6250","103.3350","90",""
"C9","Cap","TopLayer","CAPC0402","171.1690","105.3792","360","Ceramic Capacitor,100nF,0402,6.3V"
"C8","Cap","TopLayer","CAPC0402","171.1690","107.8684","360","Ceramic Capacitor,100nF,0402,6.3V"
"Y1","32.768KHz","BottomLayer","32.728KHZ","155.2072","87.3516","270","Crystal Oscillator"
"Y2","32.768KHz","TopLayer","32.728KHZ","164.9250","113.6100","270","Crystal Oscillator"
"U3","DS1307Z+","BottomLayer","SOIC-8","154.1150","92.5078","90","SERIAL TIME CHIP 8PIN, SOIC"
"S3","WIFI","TopLayer","FSMJ_-_SMD_-_WIFI","163.0812","93.7016","90","Pushbutton 6x6mm, Actuator Height off PCB, Vertical 9.50mm"
"R12","Resistor","BottomLayer","RESC0603","171.3616","106.2584","90","Thick Film Resistor -  309Kohm, 1%, 0603"
"R11","Resistor","BottomLayer","RESC0603","171.3616","109.3064","90","Thick Film Resistor -  220Kohm, 1%, 0603"
"R7","Resistor","TopLayer","RESC0402","155.1011","91.6850","270","Thick Film Resistor -  10Kohm, 1%, 0402"
"C7","Capacitor","TopLayer","CAPC0402","171.1690","109.1130","360","Ceramic Capacitor,1uF,0402,6.3V"
"C6","Capacitor","TopLayer","CAPC0603","171.4500","110.5100","360","Ceramic Capacitor,10uF,0603,10V"
"C5","Cap","TopLayer","CAPC0402","165.4750","100.9350","360","Ceramic Capacitor,22pF,0402,50V"
"C16","Cap","TopLayer","CAPC0402","156.4518","91.6849","270","Ceramic Capacitor,100nF,0402,6.3
V"
"S1","Boot","TopLayer","","172.0220","93.7016","270","Header, 2-Pin"
"U2","ESP32-S2","TopLayer","QFN56-7X7MM","165.4180","106.0206","180","WiFi 802.11b/g/n Transceiver Module 2.4GHz"
"L1","Inductor","BottomLayer","INDP5050X20N","153.3022","102.6932","360","WURTH ELEKTRONIK - 74404052022 - Power Inductor (SMD), 2.2 µH, 3 A, Semishielded, 3.6 A, WE-LQS Series, 5mm x 5mm x 2mm"
"U1","PAM2401SCADJ","BottomLayer","8-TSSOP,_8-MSOP","152.0576","108.3574","90","IC REG BOOST ADJ 3A SYNC 8MSOP"
"R9","Resistor","TopLayer","RESC0402","152.2000","91.6850","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R8","Resistor","TopLayer","RESC0402","153.6506","91.6850","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R5","Resistor","TopLayer","RESC0402","159.7250","86.7100","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R4","Resistor","TopLayer","RESC0603","148.5966","88.6978","90","Thick Film Resistor -  100Kohm, 1%, 0603"
"R3","Resistor","TopLayer","RESC0603","146.9395","88.7218","90","Thick Film Resistor -  100ohm, 1%, 0603"
"R2","Resistor","BottomLayer","RESC0603","149.5178","112.7535","90","Thick Film Resistor -  100Kohm, 1%, 0603"
"R1","Resistor","BottomLayer","RESC0603","149.5174","109.6528","270","Thick Film Resistor -  453Kohm, 1%, 0603"
"Q1","Mosfet","TopLayer","SOT-363","144.8181","88.7158","90","N-Channel 20V 3.2A (Ta) 1W (Ta) Surface Mount SC-88/SC70-6/SOT-363"
"D1","1N4007W","TopLayer","SOD-123","146.3250","85.7600","180","Rectifiers RECTIFIER DIODE 1A 1000V"
"C11","Cap","TopLayer","CAPC0402","170.0154","93.6762","270","Ceramic Capacitor,100nF,0402,16V"
"C4","Cap","TopLayer","CAPC0402","167.4750","100.9350","180","Ceramic Capacitor,22pF,0402,50V"
"C10","Cap","TopLayer","CAPC0402","169.4758","100.4592","270","Ceramic Capacitor,100nF,0402,6.3V"
"C3","Capacitor","BottomLayer","CAPC0603","150.2796","99.1118","360","Ceramic Capacitor,22uF,0603,6.3V"
"C1","Capacitor","BottomLayer","CAPC0603","152.8196","111.9896","180","Ceramic Capacitor,22uF,0603,6.3V"
"P3","CP2102","BottomLayer","HEADER_6X1","171.9500","80.8102","180","Header, 6-Pin"
"P2","Motor","BottomLayer","2_PIN_2.5MM_-_HEADER","145.8000","80.8600","180","Motor, General Kind"
"P1","+ Batt -","BottomLayer","2_PIN_2.5MM_-_HEADER","153.3000","80.8600","180","Header, 2-Pin"
"S2","Button","TopLayer","434153017835","163.0810","86.7419","180","SWITCH TACTILE SPST-NO 0.05A 12V"
"R10","Resistor","TopLayer","RESC0402","161.8250","150.6900","180","Thick Film Resistor -  10Kohm, 1%, 0402"
"R13","Resistor","TopLayer","RESC0402","165.0750","149.6150","360","Thick Film Resistor -  1Mohm, 1%, 0402"
"A1","Antenna_1","TopLayer","ESP32_ANT","174.9500","141.8966","270","PCB Antenna"
"C2","Capacitor","BottomLayer","CAPC0603","152.8196","152.6936","180","Ceramic Capacitor,22uF,0603,6.3V"
"X1","CRYSTAL_1","TopLayer","CRYSTAL_3225","166.4500","137.8400","180","40MHz ±10ppm 10pF 30O SMD-3225 SMD Crystal Resonators RoHS"
"R6","Resistor","BottomLayer","RESC0603","166.2564","133.1356","90","Thick Film Resistor -  820ohm, 1%, 0603"
"Q3","PNP BJT Transistor","BottomLayer","SOT-23","163.7162","131.0048","270","ON SEMICONDUCTOR - MMBT3906LT1G - Bipolar (BJT) Single Transistor, General Purpose, PNP, -40 V, 250 MHz, 225 mW, -200 mA, 300 hFE"
"Q2","NPN BJT Transistor","BottomLayer","SOT-23","160.3380","131.0126","270","Bipolar Transistors - BJT SOT-23 NPN"
"L3","Inductor","TopLayer","INDUCTOR_0402","171.9750","143.0148","360","2nH ±0.3nH 900mA 120mO 0402 Inductors (SMD) RoHS"
"L2","Inductor","TopLayer","INDUCTOR_0402","171.0939","145.8038","360","2nH ±0.3nH 900mA 120mO 0402 Inductors (SMD) RoHS"
"D3","B0540W","BottomLayer","SOD123_-_DUPLICATE","161.1762","134.2278","180","Diode Schottky 40V 0.5A 2-Pin SOD-123 T/R"
"D2","B0540W","BottomLayer","SOD123_-_DUPLICATE","161.1762","136.2852","0","Diode Schottky 40V 0.5A 2-Pin SOD-123 T/R"
"C26","Cap","BottomLayer","CAPC0402","163.2250","148.1900","270","Ceramic Capacitor,100nF,0402,6.3V"
"C25","Cap","BottomLayer","CAPC0402","166.0250","148.1900","270","Ceramic Capacitor,100nF,0402,6.3V"
"C24","Cap","BottomLayer","CAPC0402","168.3644","142.9574","180","Ceramic Capacitor,100nF,0402,6.3V"
"C23","Cap","TopLayer","capc0402","164.0750","150.7150","360","Ceramic Capacitor,18pF,0402,50V"
"C22","Cap","TopLayer","capc0402","166.0750","150.7150","180","Ceramic Capacitor,18pF,0402,50V"
"C21","Cap","BottomLayer","CAPC0402","157.7726","131.9926","270","Ceramic Capacitor,100nF,0402,6.3
V"
"C20","Cap","BottomLayer","CAPC0402","166.8658","142.4574","90","Ceramic Capacitor,100nF,0402,6.3V"
"C19","Cap","BottomLayer","CAPC0402","165.8498","142.4574","90","Ceramic Capacitor,100nF,0402,6.3V"
"C18","Cap","BottomLayer","CAPC0402","163.6400","142.4574","90","Ceramic Capacitor,100nF,0402,6.3V"
"C17","Cap","TopLayer","CAPC0402","159.9500","147.4400","180","Ceramic Capacitor,100nF,0402,6.3V"
"C15","Capacitor","BottomLayer","CAPC0603","157.7726","134.5326","90","Ceramic Capacitor,10uF,0603,10V"
"C14","Capacitor","BottomLayer","CAPC0603","164.6052","135.2692","270","Ceramic Capacitor,10uF,0603,10V"
"C13","Capacitor","TopLayer","CAPC0402","170.3250","142.5150","90",""
"C12","Capacitor","TopLayer","CAPC0402","173.6250","142.5150","90",""
"C9","Cap","TopLayer","CAPC0402","171.1690","144.5592","360","Ceramic Capacitor,100nF,0402,6.3V"
"C8","Cap","TopLayer","CAPC0402","171.1690","147.0484","360","Ceramic Capacitor,100nF,0402,6.3V"
"Y1","32.768KHz","BottomLayer","32.728KHZ","155.2072","126.5316","270","Crystal Oscillator"
"Y2","32.768KHz","TopLayer","32.728KHZ","164.9250","152.7900","270","Crystal Oscillator"
"U3","DS1307Z+","BottomLayer","SOIC-8","154.1150","131.6878","90","SERIAL TIME CHIP 8PIN, SOIC"
"S3","WIFI","TopLayer","FSMJ_-_SMD_-_WIFI","163.0812","132.8816","90","Pushbutton 6x6mm, Actuator Height off PCB, Vertical 9.50mm"
"R12","Resistor","BottomLayer","RESC0603","171.3616","145.4384","90","Thick Film Resistor -  309Kohm, 1%, 0603"
"R11","Resistor","BottomLayer","RESC0603","171.3616","148.4864","90","Thick Film Resistor -  220Kohm, 1%, 0603"
"R7","Resistor","TopLayer","RESC0402","155.1011","130.8650","270","Thick Film Resistor -  10Kohm, 1%, 0402"
"C7","Capacitor","TopLayer","CAPC0402","171.1690","148.2930","360","Ceramic Capacitor,1uF,0402,6.3V"
"C6","Capacitor","TopLayer","CAPC0603","171.4500","149.6900","360","Ceramic Capacitor,10uF,0603,10V"
"C5","Cap","TopLayer","CAPC0402","165.4750","140.1150","360","Ceramic Capacitor,22pF,0402,50V"
"C16","Cap","TopLayer","CAPC0402","156.4518","130.8649","270","Ceramic Capacitor,100nF,0402,6.3
V"
"S1","Boot","TopLayer","","172.0220","132.8816","270","Header, 2-Pin"
"U2","ESP32-S2","TopLayer","QFN56-7X7MM","165.4180","145.2006","180","WiFi 802.11b/g/n Transceiver Module 2.4GHz"
"L1","Inductor","BottomLayer","INDP5050X20N","153.3022","141.8732","360","WURTH ELEKTRONIK - 74404052022 - Power Inductor (SMD), 2.2 µH, 3 A, Semishielded, 3.6 A, WE-LQS Series, 5mm x 5mm x 2mm"
"U1","PAM2401SCADJ","BottomLayer","8-TSSOP,_8-MSOP","152.0576","147.5374","90","IC REG BOOST ADJ 3A SYNC 8MSOP"
"R9","Resistor","TopLayer","RESC0402","152.2000","130.8650","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R8","Resistor","TopLayer","RESC0402","153.6506","130.8650","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R5","Resistor","TopLayer","RESC0402","159.7250","125.8900","90","Thick Film Resistor -  10Kohm, 1%, 0402"
"R4","Resistor","TopLayer","RESC0603","148.5966","127.8778","90","Thick Film Resistor -  100Kohm, 1%, 0603"
"R3","Resistor","TopLayer","RESC0603","146.9395","127.9018","90","Thick Film Resistor -  100ohm, 1%, 0603"
"R2","Resistor","BottomLayer","RESC0603","149.5178","151.9335","90","Thick Film Resistor -  100Kohm, 1%, 0603"
"R1","Resistor","BottomLayer","RESC0603","149.5174","148.8328","270","Thick Film Resistor -  453Kohm, 1%, 0603"
"Q1","Mosfet","TopLayer","SOT-363","144.8181","127.8958","90","N-Channel 20V 3.2A (Ta) 1W (Ta) Surface Mount SC-88/SC70-6/SOT-363"
"D1","1N4007W","TopLayer","SOD-123","146.3250","124.9400","180","Rectifiers RECTIFIER DIODE 1A 1000V"
"C11","Cap","TopLayer","CAPC0402","170.0154","132.8562","270","Ceramic Capacitor,100nF,0402,16V"
"C4","Cap","TopLayer","CAPC0402","167.4750","140.1150","180","Ceramic Capacitor,22pF,0402,50V"
"C10","Cap","TopLayer","CAPC0402","169.4758","139.6392","270","Ceramic Capacitor,100nF,0402,6.3V"
"C3","Capacitor","BottomLayer","CAPC0603","150.2796","138.2918","360","Ceramic Capacitor,22uF,0603,6.3V"
"C1","Capacitor","BottomLayer","CAPC0603","152.8196","151.1696","180","Ceramic Capacitor,22uF,0603,6.3V"
"P3","CP2102","BottomLayer","HEADER_6X1","171.9500","119.9902","180","Header, 6-Pin"
"P2","Motor","BottomLayer","2_PIN_2.5MM_-_HEADER","145.8000","120.0400","180","Motor, General Kind"
"P1","+ Batt -","BottomLayer","2_PIN_2.5MM_-_HEADER","153.3000","120.0400","180","Header, 2-Pin"
"S2","Button","TopLayer","434153017835","163.0810","125.9219","180","SWITCH TACTILE SPST-NO 0.05A 12V"
